Team,W,L,W/L%,GB,PS/G,PA/G,SRS,W_Prev
Milwaukee Bucks,56,17,0.767,0,118.7,108.6,9.41,60
Toronto Raptors,53,19,0.736,2.5,112.8,106.5,5.97,58
Boston Celtics,48,24,0.667,7.5,113.7,107.3,5.83,49
Indiana Pacers,45,28,0.616,11,109.4,107.5,1.63,48
Miami Heat,44,29,0.603,12,112,109.1,2.59,39
Philadelphia 76ers,43,30,0.589,13,110.7,108.4,2.25,51
Brooklyn Nets,35,37,0.486,20.5,111.8,112.3,-1.01,42
Orlando Magic,33,40,0.452,23,107.3,108.3,-0.93,42
Charlotte Hornets,23,42,0.354,29,102.9,109.6,-7.03,39
Washington Wizards,25,47,0.347,30.5,114.4,119.1,-5.24,32
Chicago Bulls,22,43,0.338,30,106.8,109.9,-4,22
New York Knicks,21,45,0.318,31.5,105.8,112.3,-6.72,17
Detroit Pistons,20,46,0.303,32.5,107.2,110.8,-4.38,41
Atlanta Hawks,20,47,0.299,33,111.8,119.7,-7.71,29
Cleveland Cavaliers,19,46,0.292,33,106.9,114.8,-7.77,19
