Team,W,L,W/L%,GB,PS/G,PA/G,SRS,W_Prev
Los Angeles Lakers,52,19,0.732,0,113.4,107.6,6.28,37
Los Angeles Clippers,49,23,0.681,3.5,116.3,109.9,6.66,48
Denver Nuggets,46,27,0.63,7,111.3,109.2,2.35,54
Houston Rockets,44,28,0.611,8.5,117.8,114.8,3.13,53
Oklahoma City Thunder,44,28,0.611,8.5,110.4,108.4,2.33,49
Utah Jazz,44,28,0.611,8.5,111.3,108.8,2.52,50
Dallas Mavericks,43,32,0.573,11,117,112.1,4.87,33
Portland Trail Blazers,35,39,0.473,18.5,115,116.1,-0.61,53
Memphis Grizzlies,34,39,0.466,19,112.6,113.7,-0.91,33
Phoenix Suns,34,39,0.466,19,113.6,113.4,0.56,19
San Antonio Spurs,32,39,0.451,20,114.1,115.2,-0.65,48
Sacramento Kings,31,41,0.431,21.5,110.1,112.1,-1.59,39
New Orleans Pelicans,30,42,0.417,22.5,115.8,117.1,-0.55,33
Minnesota Timberwolves,19,45,0.297,29.5,113.3,117.5,-4.02,36
Golden State Warriors,15,50,0.231,34,106.3,115,-8.12,57
